Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1Cx2fyD96YXugpNgdiGehe,d1e35e072eec44ccacb5f5176160ecf6,2025-03-12T00:17:03Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:6JNrZTngsgMzHVxKXAUt4A,d1e35e072eec44ccacb5f5176160ecf6,2025-03-12T00:17:03Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5yAYu3jnhoTVnu9KhDx2px,d1e35e072eec44ccacb5f5176160ecf6,2025-03-12T00:17:03Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5FRmsiVS8ybJHQCV0fjuI1,d1e35e072eec44ccacb5f5176160ecf6,2025-03-12T00:17:03Z,4,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4agp6oHofabdUedr0B1krj,d1e35e072eec44ccacb5f5176160ecf6,2025-03-12T00:17:03Z,-2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:3eTwIIekod6vK1D9PEFQ42,d1e35e072eec44ccacb5f5176160ecf6,2025-03-12T00:17:03Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1Z1eIcXUNw8X2uAOkJryVb,d1e35e072eec44ccacb5f5176160ecf6,2025-03-12T00:17:03Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2KLjcZ67h7Dad8QjW1IvE4,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1Q3t9fWvHUXKsMmpD2XpUu,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,0,Not sure this is about the weather,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1mcxyECWXsg0lfuMyreNIm,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1kLfG3KS10Dz5x6ZPyTaRb,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:6JNrZTngsgMzHVxKXAUt4A,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5kRBzRZmZTXVg8okC7SJFZ,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,0,Last Downvote Out,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4agp6oHofabdUedr0B1krj,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:3soLwFvqNYT90pZHSZhmK2,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,-1,… VERY PUSSY,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2xB6moRYsJcKuFitTNicQW,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,-1,Maybe if it were in the original Klingon,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2r29IeNuOv7UtJojmypdSE,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-12T00:21:26Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1Cx2fyD96YXugpNgdiGehe,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5pajrflzRSu55mgXcEKLUG,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5FRmsiVS8ybJHQCV0fjuI1,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4lJNen4SMTIJMahALc3DcB,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4agp6oHofabdUedr0B1krj,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,-1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:3soLwFvqNYT90pZHSZhmK2,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2r29IeNuOv7UtJojmypdSE,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2KLjcZ67h7Dad8QjW1IvE4,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,-1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1Z1eIcXUNw8X2uAOkJryVb,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1kLfG3KS10Dz5x6ZPyTaRb,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:0g10ndCuaKKaDqUa7gKZMV,cee72f0860f3446ba0b479dd918807be,2025-03-12T00:36:43Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:06pRRMDsx7mdfZQy10it40,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,-1,I like this song but it's not smooth,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:35U4PXL3W3XIkAjEUdhr36,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:38UYeBLfvpnDSG9GznZdnL,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,1,Something about Bad Bunny is always smooth,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:3qJImzh896FdKl5mJfpFaC,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,-1,Topicality ,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:3Sm5TYFgMXyXwgAcY2xweX,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,2,This dat smoof ,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:5dXED6MP1v1qghkaniirb1,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:5W4pHbD6zGH2OwJdGuRPFj,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,1,One of you is digging DEEP in the crates for your lovemakin playlist,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:64EfSAF5nxhIfUw1GbPPCC,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,0,In theory they should be in my wheelhouse but I've never been able to get into them,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:6IqsRa2c6E9UYSH4DbxrIN,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,0,Great song but not smooth,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:6PqKFh3HssXSRFomWXkh4H,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,2,Wanted to not like it because its a bit hacky to sub a song with smooth in the title but it is indeed smooth and connects to smooth music era.,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:7d4NqW0bkFTYXinZYMNvMg,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:7rU6Iebxzlvqy5t857bKFq,5d5638b12d18438d9e443eb2cda1167c,2025-03-18T13:20:20Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:0eEXcw3JLVXcRxYrVYMy68,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,2,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:1m3BAsNsQAaSNMD2M6vlKY,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:35U4PXL3W3XIkAjEUdhr36,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,2,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:38UYeBLfvpnDSG9GznZdnL,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,-1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:3QKJELWORZZ7rUZDWeMWSA,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:4zQ8Y3TeQ98xWm20ebX3Cc,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:5AZGbqiIK5t1jrWSPT7k8X,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,-1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:5VETCvX0BpeIEG9cxdqS5E,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,1,,dc20c1c43f464a1cad6e035baf81f90d
